Transaction_ID,Date,Month,Day of Week,Amount,Category,Payment_Method,Merchant,Notes,Type
c23b3433-af84-43d7-a44d-f2afb244d51a,10/5/24,October,Saturday,184.01,Shopping,Debit Card,Adidas,Shopping spree at Adidas,Expense
b050cc90-a951-4f13-97c9-be8ef1cb3a2e,6/9/24,June,Sunday,204.56,Entertainment,Credit Card,Cinemark,Movie night at Cinemark,Expense
49309f3d-8b42-4b28-ad60-0650d23dbb0a,8/31/24,August,Saturday,327.56,Transportation,Cash,Uber,Commute via Uber,Expense
9ce79325-15fb-49cf-84ae-a9eb6c9f07c5,5/1/24,May,Wednesday,283.42,Miscellaneous,Bank Transfer,Charity Donation,,Expense
5b2f863c-aad9-4166-854b-f9f6e5a3c67f,10/14/24,October,Monday,413.63,Travel,Bank Transfer,Holiday Inn,Travel expenses with Holiday Inn,Expense
216b75be-a841-4445-a25d-2c50fa0a67b8,10/22/24,October,Tuesday,255.65,Shopping,,Best Buy,Bought clothes at Best Buy,Expense
4337632e-57e2-452e-8e75-143c6941a8fa,9/5/24,September,Thursday,138.2,Shopping,,Target,Bought clothes at Target,Expense
ec1eef89-0f16-42f4-b2ea-ef5ab595a988,9/16/24,September,Monday,319.07,Bills & Utilities,Debit Card,Comcast,Utility payment to Comcast,Expense
c509a665-b973-4615-998c-6cd4fbee67bb,3/28/24,March,Thursday,271.14,Entertainment,Bank Transfer,Hulu,Movie night at Hulu,Expense
af405475-65f6-4638-91a3-cbfb24d26a17,8/20/24,August,Tuesday,1283.48,Salary,Credit Card,Employer Inc.,Paycheck from Employer Inc.,Income
9ce8d39d-5eb6-4c1c-add7-e9e9a31f9a1f,4/30/24,April,Tuesday,79.23,Food,Credit Card,McDonald's,Dinner at McDonald's,Expense
a47e8a95-6b4f-4c5b-83d6-e07fad1189f5,10/13/24,October,Sunday,845.05,From Parents,Mobile Payment,Dad,Money received from Dad,Income
ed73130c-0278-4a05-9d90-db16141e9952,6/12/24,June,Wednesday,493.04,Shopping,Debit Card,Adidas,Bought clothes at Adidas,Expense
51bbbba0-f1a0-4e36-b3ea-485f8e95f3f8,10/28/24,October,Monday,2821.71,Investment Returns,Cash,Stock Brokerage,Interest earned from Stock Brokerage,Income
f63e471f-7707-4265-809f-1261021104e6,5/1/24,May,Wednesday,1251.67,Cash Back Rewards,,Bank Rewards Program,Rewards from Bank Rewards Program,Income
fcde9781-f683-45e5-9da6-e78d84aa3ff5,5/12/24,May,Sunday,428.06,Education,Debit Card,LinkedIn,Course enrollment at LinkedIn,Expense
0cb8935e-fea1-46b2-b00c-78bd63f0cfaf,8/7/24,August,Wednesday,500.01,Bills & Utilities,,AT&T,Utility payment to AT&T,Expense
c04ab7cc-9a4b-4f99-a19c-4df423e3c741,4/30/24,April,Tuesday,568.28,Bills & Utilities,Credit Card,Verizon,Paid bill to Verizon,Expense
f0f892e3-3615-4c84-b1b6-e7ea7b4bfdde,10/25/24,October,Friday,1253.39,Salary,Mobile Payment,Company LLC,Paycheck from Company LLC,Income
dc3e3f34-373b-40af-8520-4f1e2613a300,8/9/24,August,Friday,377.62,From Parents,Credit Card,Parents,Allowance from Parents,Income
65efabb6-0fe4-4d7b-85a7-ed538a24b802,7/26/24,July,Friday,760.58,Food,Cash,McDonald's,,Expense
e250f6bd-3b34-47b4-b511-25f8aeb8531c,10/23/24,October,Wednesday,178.66,Bills & Utilities,Debit Card,Comcast,Utility payment to Comcast,Expense
19ee93f2-c2cc-4854-bb69-43ba904bbe4f,12/18/23,December,Monday,1432.56,Freelance,Debit Card,Client B,Consulting fee from Client B,Income
360c3bd3-05ca-4f91-89db-dd8c657a3abe,3/13/24,March,Wednesday,2492.71,Cash Back Rewards,Credit Card,Bank Rewards Program,Cash back from Bank Rewards Program,Income
5a84a9fc-0ab9-4f7b-8e78-61845d397b15,7/9/24,July,Tuesday,395.65,Bills & Utilities,Mobile Payment,Comcast,Paid bill to Comcast,Expense
c4cfab00-6f4e-4910-ad8b-083eaf806778,6/24/24,June,Monday,465.84,Groceries,Mobile Payment,Walmart,Groceries from Walmart,Expense
901a570e-182f-4435-b15a-a0fcbd3d0ddf,1/17/24,January,Wednesday,339,Health,Bank Transfer,Doctor's Office,Prescription from Doctor's Office,Expense
64ca26a6-2fba-4907-970e-ed502a1cad5f,6/5/24,June,Wednesday,1936.91,From Parents,Debit Card,Dad,Allowance from Dad,Income
e9664d73-796e-40a8-bc89-e4af631ac54b,3/16/24,March,Saturday,14.22,Education,Credit Card,University Tuition Fees,Tuition fee for University Tuition Fees,Expense
42af8d17-ad86-43bb-9f5d-965c47f19ecb,3/30/24,March,Saturday,901.95,Freelance,Credit Card,Client B,Freelance payment from Client B,Income
82267533-7744-400a-bd96-16690ceec524,3/6/24,March,Wednesday,58.07,Miscellaneous,Bank Transfer,Charity Donation,Donation to Charity Donation,Expense
4c423c46-b1d1-4dcf-96a8-c0622e2acdea,1/25/24,January,Thursday,2261.39,,Cash,,Interest earned from Stock Brokerage,Income
5fcc7528-97de-4ff6-847a-413cbfe79d8b,9/29/24,September,Sunday,84.25,Groceries,Debit Card,Trader Joe's,Groceries from Trader Joe's,Expense
b58c7fa4-637f-4a29-9c00-ad6bf5942c6c,6/21/24,June,Friday,536.89,Tax Refund,Bank Transfer,State Tax Agency,Tax refund from State Tax Agency,Income
090ac8f1-634a-4cbf-9c44-0dc61085f345,2/17/24,February,Saturday,1178.35,Freelance,Cash,Client C,Freelance payment from Client C,Income
e6f66f0f-e687-4789-b44d-e47c97598eb0,8/24/24,August,Saturday,2624.11,Freelance,Debit Card,Client C,Consulting fee from Client C,Income
8caa14b4-2735-4196-8ce9-2812f2d69799,8/25/24,August,Sunday,590.01,Shopping,Credit Card,Target,Purchased items from Target,Expense
ef98aeff-6178-4ffc-b7af-6cd5a82e72b3,8/30/24,August,Friday,409.4,Entertainment,Cash,Disney+,Subscription to Disney+,Expense
20a5f24b-2016-48e1-a675-5d0d0fd27460,9/12/24,September,Thursday,925.24,From Parents,Bank Transfer,Mom,Money received from Mom,Income
37639b86-2c98-4c0c-aeff-7dbb13c6e975,10/10/24,October,Thursday,197.03,Education,Mobile Payment,University Tuition Fees,Tuition fee for University Tuition Fees,Expense
39a903e4-1d31-4ca1-97f2-417e56b17fbf,1/28/24,January,Sunday,2582.09,Salary,Bank Transfer,Business Corp.,Paycheck from Business Corp.,Income
725f197f-c50e-4a09-863a-4bbd1a9df967,1/31/24,January,Wednesday,616.7,Education,Credit Card,University Tuition Fees,Course enrollment at University Tuition Fees,Expense
85c45100-a07a-4fb5-8027-08b61dd38ebb,12/19/23,December,Tuesday,2790.27,Gifts,Credit Card,Family Member,Gift received from Family Member,Income
23455c4a-e187-4c90-9cb8-3944e6184c79,7/30/24,July,Tuesday,257.93,Bills & Utilities,Debit Card,AT&T,Paid bill to AT&T,Expense
8f8f40d2-169b-4c78-8236-f17f55f2d842,12/19/23,December,Tuesday,2811.37,Cash Back Rewards,Debit Card,Bank Rewards Program,Cash back from Bank Rewards Program,Income
a78b3dd4-7bf6-4499-b79a-c9b43ea29920,3/26/24,March,Tuesday,259.73,Health,Mobile Payment,Doctor's Office,Medical services at Doctor's Office,Expense
986f3b5b-5d65-4477-a432-8bfa5044494b,3/1/24,March,Friday,292.01,Shopping,Debit Card,Amazon,Purchased items from Amazon,Expense
243bbab1-6e68-4baf-8dab-b64aa944bdfc,12/12/23,December,Tuesday,2069.17,From Parents,Mobile Payment,Dad,Money received from Dad,Income
ec3d0413-e70e-4984-b649-e8cb041b9a86,6/7/24,June,Friday,538.35,Bills & Utilities,Cash,Electric Company,Utility payment to Electric Company,Expense
e587d899-1b77-4f66-ac5e-912d4a9ac157,4/30/24,April,Tuesday,95.98,Miscellaneous,Mobile Payment,Salon,Miscellaneous expense at Salon,Expense
54bbf030-c849-4dca-a738-f2dc2fea706f,7/22/24,July,Monday,1332.05,Cash Back Rewards,Debit Card,Credit Card Rewards,Rewards from Credit Card Rewards,Income
8fcd5358-e998-4a7b-9d21-1bb9bab9ec66,2/13/24,February,Tuesday,566.77,Bills & Utilities,Mobile Payment,Comcast,Utility payment to Comcast,Expense
58bcb595-bae0-40b8-bd3a-c224fb0a6d95,6/27/24,June,Thursday,2213.4,Salary,Credit Card,Employer Inc.,Monthly salary from Employer Inc.,Income
fc580dc3-d265-4f39-98d9-71ff62babe17,1/20/24,January,Saturday,1025.45,Cash Back Rewards,Cash,Credit Card Rewards,Cash back from Credit Card Rewards,Income
a7e6e149-9d18-4334-be90-2f3f61647010,5/9/24,May,Thursday,1296.67,Tax Refund,Cash,IRS,Tax refund from IRS,Income
ef076d35-8f58-4ce0-a529-64314492c78e,8/18/24,August,Sunday,43.62,Travel,Debit Card,Holiday Inn,Travel expenses with Holiday Inn,Expense
35020fd7-6817-4e6c-87ba-5dfd19d1d0d3,11/29/23,November,Wednesday,151.37,Transportation,Bank Transfer,,Commute via Taxi Service,Expense
d366f12e-d4d3-4868-9595-98c8ee9479ec,5/22/24,May,Wednesday,1698.08,Freelance,Debit Card,Client C,Consulting fee from Client C,Income
5312a9aa-f016-40bd-b5f0-60eee9c4d790,7/11/24,July,Thursday,236.01,Miscellaneous,Debit Card,Miscellaneous Purchase,Miscellaneous expense at Miscellaneous Purchase,Expense
34e7adba-c0a0-450c-b919-cb18a551dd65,2/14/24,February,Wednesday,1947.27,Tax Refund,Bank Transfer,,Tax refund from IRS,Income
01d3d3b0-1641-475a-bb6b-7ac3bb350d0c,9/10/24,September,Tuesday,371.62,Education,Cash,Bookstore,Books purchased from Bookstore,Expense
c99f2ad2-e23f-4816-a3de-2657363c697f,7/22/24,July,Monday,275.04,Groceries,Cash,Indian store,Weekly shopping at Indian store,Expense
134c2677-3fa1-40f4-9703-84c41197f483,5/29/24,May,Wednesday,271.34,Bills & Utilities,Bank Transfer,,Paid bill to Verizon,Expense
87cb1820-21b4-4c6b-ac46-b325c6b4bd34,11/7/23,November,Tuesday,2632.99,Freelance,Mobile Payment,Client C,Freelance payment from Client C,Income
d4315666-1c31-4f65-be99-ea9f2f557aba,3/8/24,March,Friday,1543.98,,Credit Card,Client C,Freelance payment from Client C,Income
ec0cf00c-79ef-4b83-91a8-855692586a65,2/14/24,February,Wednesday,592.32,Education,Cash,Online Course,Books purchased from Online Course,Expense
346b5886-bf7c-41f9-a095-6beec7e40355,5/3/24,May,Friday,10.87,Health,Cash,Rite Aid,Appointment at Rite Aid,Expense
